MOLD_TEMP;FILL_TIME;PLAST_TIME;CYCLE_TIME;CLOSING_FORCE;CLAMP_FORCE_PEAK;TORQUE_PEAK_VAL;TORQUE_MEAN_VAL;BACK_PRESS_PEAK_VAL;INJECT_PRESS_PEAK_VAL;SCREW_HOLD_POS;SHOT_VOLUME;QUALITY_INDEX
126.04;11.04;4.96;115.96;1412.05;1440.73;177.94;162.13;225.84;1431.74;13.69;29.03;0.128
126.23;10.64;4.93;115.97;1399.81;1425.85;186.78;162.6;229.56;1446.31;13.66;29.42;0.296
124.96;10.64;5.92;115.97;1374.7;1387.72;186.78;162.6;225.99;1436.08;13.58;29;0.288
125.64;10.64;4.99;115.99;1399.81;1454.21;183.52;162.6;226.3;1442.28;13.64;29.02;0.3
125.9;10.8;4.93;115.96;1411.59;1437.01;177.48;164.3;227.54;1437.94;13.69;29.05;0.168
124.96;10.64;4.93;115.97;1363.09;1387.72;197.32;162.6;227.39;1367.57;13.67;29.06;0.284
126.28;10.64;4.95;115.96;1374.7;1390.04;183.52;164.61;226.3;1367.57;13.7;29.03;0.28
125.8;10.64;4.93;115.96;1408.33;1435.77;176.55;162.6;226.3;1453.44;13.72;29.02;0.284
126.3;10.8;4.94;115.97;1366.33;1391.75;182.59;162.6;225.53;1445.22;13.72;29.02;0.168
126.08;10.8;4.93;115.97;1427.04;1401.2;197.32;161.67;228.78;1355.63;13.66;29;0.288
126.01;10.64;4.9;115.96;1371.13;1400.43;185.38;166.78;226.46;1427.4;13.69;29.03;0.28
124.96;11.04;4.93;115.97;1364;1398.6;183.52;144.31;228.78;1453.44;13.45;29.09;0.288
126.11;10.8;4.94;115.96;1426.33;1435.77;162.13;167.09;226.46;1453.44;13.64;29.03;0.212
124.64;10.8;4.94;115.97;1372.19;1390.04;181.2;165.1;227.85;1432.05;13.64;29.09;0.296
126.23;10.8;4.94;115.97;1424.72;1454.21;186.78;164.92;226.3;1367.57;13.66;29.28;0.252
124.64;11.2;6.32;115.99;1408.33;1401.2;183.52;164.61;229.56;1422.13;13.72;29.03;0.292
124.64;11.04;4.95;115.96;1408.33;1398.69;186.78;164.61;229.56;1442.28;13.67;29;0.292
126.28;10.64;4.99;115.96;1374.7;1401.2;186.78;165.16;225.68;1426.31;13.31;29;0.284
126.22;11.04;4.99;115.96;1364;1388.03;188.64;164.46;226.15;1433.44;13.62;29.11;0.26
124.96;11.04;4.9;115.99;1374.7;1401.2;181.2;161.67;225.68;1429.57;13.67;29.03;0.264
124.96;10.64;4.93;115.97;1399.81;1387.72;186.78;137.8;227.39;1422.13;13.31;29.09;0.284
126.28;11.2;4.9;115.97;1362.78;1454.21;197.32;165.06;226.15;1367.57;13.64;29.14;0.292
126.28;11.2;4.95;115.97;1363.19;1435.77;176.55;161.67;227.85;1446.31;13.7;29.28;0.296
126.11;10.8;4.9;115.96;1425.09;1450.65;176.55;162.6;225.68;1442.28;13.31;29.03;0.248
124.97;10.64;5.61;115.97;1429.26;1455.3;178.41;149.11;226.15;1355.01;13.44;29.28;0.244
126.28;10.8;4.9;115.97;1374.7;1401.2;176.55;161.67;227.85;1367.57;13.69;29.03;0.256
126.1;10.64;4.94;115.94;1415.77;1440.73;186.78;163.53;227.7;1431.74;13.7;29.03;0.24
126.11;10.64;4.96;115.97;1373.06;1387.72;166.32;164.96;229.56;1429.57;13.72;29.03;0.296
126.23;10.64;4.94;115.96;1408.33;1454.21;186.78;166.32;226.15;1367.57;13.45;29.03;0.264
